"intersection1","intersection2","Address","Year","Month","Direction","Coordinates","Intersection ID","Filename"
"Blackberry Alley "," East Stewart Avenue","258 Stewart Ave, Columbus, OH 43206, USA","2024","06","NW","39.941860,-82.989633","171","Blackberry Alley & East Stewart Avenue~258 Stewart Ave, Columbus, OH 43206, USA~2024-06~NW~39.941860,-82.989633~id-171.jpg"
"Blackberry Alley "," East Whittier Street","277 Blackberry Alley, Columbus, OH 43206, USA","2019","11","E","39.944455,-82.989477","172","Blackberry Alley & East Whittier Street~277 Blackberry Alley, Columbus, OH 43206, USA~2019-11~E~39.944455,-82.989477~id-172.jpg"
"Blackberry Alley "," East Whittier Street","277 Blackberry Alley, Columbus, OH 43206, USA","2019","11","W","39.944455,-82.989477","172","Blackberry Alley & East Whittier Street~277 Blackberry Alley, Columbus, OH 43206, USA~2019-11~W~39.944455,-82.989477~id-172.jpg"
"Blackberry Alley "," Redbud Alley","1108 Blackberry Alley, Columbus, OH 43206, USA","2019","10","NE","39.940149,-82.989869","178","Blackberry Alley & Redbud Alley~1108 Blackberry Alley, Columbus, OH 43206, USA~2019-10~NE~39.940149,-82.989869~id-178.jpg"
"Blackberry Alley "," Redbud Alley","1113 Blackberry Alley, Columbus, OH 43206, USA","2019","10","SE","39.940149,-82.989869","178","Blackberry Alley & Redbud Alley~1113 Blackberry Alley, Columbus, OH 43206, USA~2019-10~SE~39.940149,-82.989869~id-178.jpg"
"Blackberry Alley "," Redbud Alley","1113 Blackberry Alley, Columbus, OH 43206, USA","2019","10","SW","39.940149,-82.989869","178","Blackberry Alley & Redbud Alley~1113 Blackberry Alley, Columbus, OH 43206, USA~2019-10~SW~39.940149,-82.989869~id-178.jpg"
"Blackberry Alley "," Redbud Alley","220 Redbud Alley, Columbus, OH 43206, USA","2019","10","NW","39.940149,-82.989869","178","Blackberry Alley & Redbud Alley~220 Redbud Alley, Columbus, OH 43206, USA~2019-10~NW~39.940149,-82.989869~id-178.jpg"
"Blackberry Alley "," Reinhard Avenue","273 Reinhard Ave, Columbus, OH 43206, USA","2024","06","SW","39.943664,-82.989526","174","Blackberry Alley & Reinhard Avenue~273 Reinhard Ave, Columbus, OH 43206, USA~2024-06~SW~39.943664,-82.989526~id-174.jpg"
"Blackberry Alley "," Reinhard Avenue","273 Reinhard Ave, Columbus, OH 43206, USA","2024","06","S","39.943664,-82.989526","174","Blackberry Alley & Reinhard Avenue~273 Reinhard Ave, Columbus, OH 43206, USA~2024-06~S~39.943664,-82.989526~id-174.jpg"
"Blackberry Alley "," Reinhard Avenue","276 1_2 Reinhard Ave, Columbus, OH 43206, USA","2024","06","NE","39.943664,-82.989526","174","Blackberry Alley & Reinhard Avenue~276 1_2 Reinhard Ave, Columbus, OH 43206, USA~2024-06~NE~39.943664,-82.989526~id-174.jpg"
"Blackberry Alley "," Reinhard Avenue","276 1_2 Reinhard Ave, Columbus, OH 43206, USA","2024","06","NW","39.943664,-82.989526","174","Blackberry Alley & Reinhard Avenue~276 1_2 Reinhard Ave, Columbus, OH 43206, USA~2024-06~NW~39.943664,-82.989526~id-174.jpg"
"Blackberry Alley "," Siebert Street","264 Siebert St, Columbus, OH 43206, USA","2019","11","NW","39.943107,-82.989556","170","Blackberry Alley & Siebert Street~264 Siebert St, Columbus, OH 43206, USA~2019-11~NW~39.943107,-82.989556~id-170.jpg"
"Blackberry Alley "," Siebert Street","265 Siebert St, Columbus, OH 43206, USA","2019","11","SW","39.943107,-82.989556","170","Blackberry Alley & Siebert Street~265 Siebert St, Columbus, OH 43206, USA~2019-11~SW~39.943107,-82.989556~id-170.jpg"
"Blackberry Alley "," Siebert Street","265 Siebert St, Columbus, OH 43206, USA","2024","06","SE","39.943102,-82.989696","170","Blackberry Alley & Siebert Street~265 Siebert St, Columbus, OH 43206, USA~2024-06~SE~39.943102,-82.989696~id-170.jpg"
"Blackberry Alley "," Siebert Street","274 Siebert St, Columbus, OH 43206, USA","2019","11","N","39.943107,-82.989556","170","Blackberry Alley & Siebert Street~274 Siebert St, Columbus, OH 43206, USA~2019-11~N~39.943107,-82.989556~id-170.jpg"
"Blackberry Alley "," Thurman Avenue","228 1_2 Thurman Ave, Columbus, OH 43206, USA","2024","06","NE","39.939628,-82.989915","175","Blackberry Alley & Thurman Avenue~228 1_2 Thurman Ave, Columbus, OH 43206, USA~2024-06~NE~39.939628,-82.989915~id-175.jpg"
"Blackberry Alley "," Thurman Avenue","228 Thurman Ave, Columbus, OH 43206, USA","2024","06","NW","39.939628,-82.989915","175","Blackberry Alley & Thurman Avenue~228 Thurman Ave, Columbus, OH 43206, USA~2024-06~NW~39.939628,-82.989915~id-175.jpg"
"Blackberry Alley "," Thurman Avenue","231 Thurman Ave, Columbus, OH 43206, USA","2024","06","SE","39.939566,-82.989948","175","Blackberry Alley & Thurman Avenue~231 Thurman Ave, Columbus, OH 43206, USA~2024-06~SE~39.939566,-82.989948~id-175.jpg"
"Blackberry Alley "," Thurman Avenue","231 Thurman Ave, Columbus, OH 43206, USA","2024","06","S","39.939628,-82.989915","175","Blackberry Alley & Thurman Avenue~231 Thurman Ave, Columbus, OH 43206, USA~2024-06~S~39.939628,-82.989915~id-175.jpg"
"Blackberry Alley "," Unknown","258 Blackberry Alley, Columbus, OH 43206, USA","2024","06","N","39.942052,-82.989698","177","Blackberry Alley & Unknown~258 Blackberry Alley, Columbus, OH 43206, USA~2024-06~N~39.942052,-82.989698~id-177.jpg"
"Blackberry Alley "," Unknown","258 Stewart Ave, Columbus, OH 43206, USA","2024","06","SW","39.942142,-82.989692","177","Blackberry Alley & Unknown~258 Stewart Ave, Columbus, OH 43206, USA~2024-06~SW~39.942142,-82.989692~id-177.jpg"
"Briggs Street "," Berger Alley","594 Briggs St, Columbus, OH 43206, USA","2019","11","NE","39.951109,-82.988107","135","Briggs Street & Berger Alley~594 Briggs St, Columbus, OH 43206, USA~2019-11~NE~39.951109,-82.988107~id-135.jpg"
"Briggs Street "," Berger Alley","595 Briggs St, Columbus, OH 43206, USA","2019","11","SE","39.951109,-82.988107","135","Briggs Street & Berger Alley~595 Briggs St, Columbus, OH 43206, USA~2019-11~SE~39.951109,-82.988107~id-135.jpg"
"Briggs Street "," Jackson Street","377 Jackson St, Columbus, OH 43206, USA","2019","11","SW","39.951446,-82.988083","134","Briggs Street & Jackson Street~377 Jackson St, Columbus, OH 43206, USA~2019-11~SW~39.951446,-82.988083~id-134.jpg"
"Briggs Street "," Jackson Street","380 Jackson St, Columbus, OH 43206, USA","2019","11","NE","39.951446,-82.988083","134","Briggs Street & Jackson Street~380 Jackson St, Columbus, OH 43206, USA~2019-11~NE~39.951446,-82.988083~id-134.jpg"
"Briggs Street "," Jackson Street","380 Jackson St, Columbus, OH 43206, USA","2019","11","NW","39.951446,-82.988083","134","Briggs Street & Jackson Street~380 Jackson St, Columbus, OH 43206, USA~2019-11~NW~39.951446,-82.988083~id-134.jpg"
"Briggs Street "," Jackson Street","385 Jackson St, Columbus, OH 43206, USA","2019","11","SE","39.951446,-82.988083","134","Briggs Street & Jackson Street~385 Jackson St, Columbus, OH 43206, USA~2019-11~SE~39.951446,-82.988083~id-134.jpg"
"Brust Street "," Unknown","640-642 Brust St, Columbus, OH 43206, USA","2024","06","E","39.950016,-82.988831","290","Brust Street & Unknown~640-642 Brust St, Columbus, OH 43206, USA~2024-06~E~39.950016,-82.988831~id-290.jpg"
"Brust Street "," Unknown","640-642 Brust St, Columbus, OH 43206, USA","2024","06","S","39.950016,-82.988831","290","Brust Street & Unknown~640-642 Brust St, Columbus, OH 43206, USA~2024-06~S~39.950016,-82.988831~id-290.jpg"
"Brust Street "," Unknown","666 Brust St, Columbus, OH 43206, USA","2021","09","SE","39.949443,-82.988866","289","Brust Street & Unknown~666 Brust St, Columbus, OH 43206, USA~2021-09~SE~39.949443,-82.988866~id-289.jpg"
"Cedar Alley "," East Blenkner Street","253 E Blenkner St, Columbus, OH 43206, USA","2024","06","W","39.952070,-82.991532","297","Cedar Alley & East Blenkner Street~253 E Blenkner St, Columbus, OH 43206, USA~2024-06~W~39.952070,-82.991532~id-297.jpg"
"Cedar Alley "," East Blenkner Street","257 E Blenkner St, Columbus, OH 43206, USA","2024","06","S","39.952070,-82.991532","297","Cedar Alley & East Blenkner Street~257 E Blenkner St, Columbus, OH 43206, USA~2024-06~S~39.952070,-82.991532~id-297.jpg"
"Cedar Alley "," East Blenkner Street","261 E Blenkner St, Columbus, OH 43206, USA","2024","06","NE","39.952070,-82.991532","297","Cedar Alley & East Blenkner Street~261 E Blenkner St, Columbus, OH 43206, USA~2024-06~NE~39.952070,-82.991532~id-297.jpg"
"Cedar Alley "," East Blenkner Street","261 E Blenkner St, Columbus, OH 43206, USA","2024","06","SE","39.952070,-82.991532","297","Cedar Alley & East Blenkner Street~261 E Blenkner St, Columbus, OH 43206, USA~2024-06~SE~39.952070,-82.991532~id-297.jpg"
"City Park Avenue "," Concord Place","922 City Park Ave, Columbus, OH 43206, USA","2015","08","NE","39.943589,-82.995230","58","City Park Avenue & Concord Place~922 City Park Ave, Columbus, OH 43206, USA~2015-08~NE~39.943589,-82.995230~id-58.jpg"
"City Park Avenue "," Concord Place","922 City Park Ave, Columbus, OH 43206, USA","2015","08","SE","39.943589,-82.995230","58","City Park Avenue & Concord Place~922 City Park Ave, Columbus, OH 43206, USA~2015-08~SE~39.943589,-82.995230~id-58.jpg"
"City Park Avenue "," East Beck Street","563 City Park Ave, Columbus, OH 43215, USA","2022","09","NW","39.950634,-82.996629","66","City Park Avenue & East Beck Street~563 City Park Ave, Columbus, OH 43215, USA~2022-09~NW~39.950634,-82.996629~id-66.jpg"
"City Park Avenue "," East Beck Street","571 City Park Ave, Columbus, OH 43215, USA","2017","08","SE","39.950743,-82.996650","66","City Park Avenue & East Beck Street~571 City Park Ave, Columbus, OH 43215, USA~2017-08~SE~39.950743,-82.996650~id-66.jpg"
